sortOrder,concept_id,level_curated,parent_id,en_label,id_key,is_active,date_range,date_from,date_to,L0_en,L0_ru,L0_zh,L0_kk,L0_ky,L0_tg,L0_tk,L0_uz,H1_en,H1_ru,H1_zh,H1_kk,H1_ky,H1_tg,H1_tk,H1_uz,H2_en,H2_ru,H2_zh,H2_kk,H2_ky,H2_tg,H2_tk,H2_uz,H3_en,H3_ru,H3_zh,H3_kk,H3_ky,H3_tg,H3_tk,H3_uz,Notes_en,Notes_ru,Notes_zh,Notes_ky,Notes_tg,Notes_tk,Notes_uz,H4_en,H4_ru,H4_zh,H4_kk,H4_ky,H4_tg,H4_tk,H4_uz,Notes_kk,join_key_norm
0,,,,,,,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CP-1-0001,1,,Afrighid,L1|Afrighid|NA,True,305-995 CE,305,995,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Afrighid,Афригиды,阿夫里格王朝,Афригидтер,Афригиддер,Африғидҳо,Afrigid,Afrig‘iylar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Afrighid|NA
2,CP-1-0003,1,,Early Antiquity,L1|Early Antiquity|NA,True,329 BCE - 265 CE,-329,265,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Early Antiquity,Ранняя античность,古典时代早期,Ерте антикалық кезең,Байыркы антикалык дуйно,Антиқаи барвақт,Irki Antiki döwri,Ilk antik davr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Early Antiquity|NA
3,CP-1-0005,1,,Empire/dynasty,L1|Empire/dynasty|NA,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Empire/dynasty|NA
4,CP-2-0018,2,CP-1-0005,ACHAEMENID,L2|ACHAEMENID|Empire/dynasty,True,550BCE-330BCE,330,550,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,ACHAEMENID,АХЕМЕНИДЫ,阿契美尼德,Ахеменидтер,Ахемениддер,Ҳахоманишиён,Ahemenid,AHAMONIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|ACHAEMENID|Empire/dynasty
5,CP-2-0019,2,CP-1-0005,CHAGATAI KHANATE,L2|CHAGATAI KHANATE|Empire/dynasty,True,1225 – 1340s CE,1225,1349,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,,,,,,,,,Empire before split,целиком,公元,Бөлүнгөнгө чейинки империя,Империя пеш аз тақсим,Bölünmezden ozal imperiýa,Emperiya bo‘linmasdan oldin Butun,,,,,,,,,,L2|CHAGATAI KHANATE|Empire/dynasty
6,CP-3-0009,3,CP-2-0019,Western Chagatai Khanate (Mawerenahr),L3|Western Chagatai Khanate (Mawerenahr)|CHAGATAI KHANATE,True,1340s–1370 CE,1340,1370,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,Western Chagatai Khanate (Mawerenahr),Мавераннахр (Западное Чагатайское ханство),西察合台汗国,Мауереннахр (Батыс Шағатай хандығы),Мавераннахр (Батыш Чагатай хандыгы),Мовароуннаҳр (Хонигарии Чағатои Ғарбӣ),Günbatar Çagataý hanlygy (Mawerenahr),Movarounnahr (G‘arbiy Chig‘atoy ulusi),,,,,,,,,,,,,,,,,L3|Western Chagatai Khanate (Mawerenahr)|CHAGATAI KHANATE
7,CP-3-0008,3,CP-2-0019,Eastern Chagatai Khanate (Moghulistan),L3|Eastern Chagatai Khanate (Moghulistan)|CHAGATAI KHANATE,True,1340s–1680s CE,1340,1689,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,CHAGATAI KHANATE,ЧАГАТАЙСКОЕ ХАНСТВО,察合台汗国,Шағатай хандығы,ЧАГАТАЙ ХАНДЫГЫ,Хонигарии Чағатой,Çagataý hanlygy,CHIG‘ATOY ULUSI,Eastern Chagatai Khanate (Moghulistan),Моголистан (Восточное Чагатайское ханство),东察合台汗国,Моғолстан (Шығыс Шағатай хандығы),Моголстан (Чыгыш Чагатай хандыгы),Муғулистон (Хонигарии Чағатои Шарқӣ),Gündogar Çagataý hanlygy (Mogulistan),Mug‘uliston (Sharqiy Chig‘atoy ulusi),,,,,,,,,,,,,,,,,L3|Eastern Chagatai Khanate (Moghulistan)|CHAGATAI KHANATE
8,CP-2-0020,2,CP-1-0005,GHAZNAVID,L2|GHAZNAVID|Empire/dynasty,True,997–1186 CE,997,1186,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GHAZNAVID,ГАЗНЕВИДЫ,塞尔柱,Газневидтер,Газневиддер,Ғазнавиён,Gaznawid,G‘AZNAVIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|GHAZNAVID|Empire/dynasty
9,CP-2-0021,2,CP-1-0005,GRECO-BACTRIAN,L2|GRECO-BACTRIAN|Empire/dynasty,True,256 BCE–125 BCE,-256,-125,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GRECO-BACTRIAN,ГРЕКО-БАКТРИЙСКИЙ,希腊-巴克特里亚（大夏）,Грек-Бактрия патшалығы,ГРЕК-БАКТРИЯ,Юнону-Бохтар,Grek-Baktriýa,YUNON-BAQTRIYA (DAVLATI),,,,,,,,,,,,,,,,,,,,,,,,,L2|GRECO-BACTRIAN|Empire/dynasty
10,CP-2-0022,2,CP-1-0005,GREEK-MACEDONIAN,L2|GREEK-MACEDONIAN|Empire/dynasty,True,c. 331 BCE to 312 BCE,-331,-312,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,GREEK-MACEDONIAN,Греко-македонский,希腊-马其顿王国时代,Грек-мақедониялық,Грек-македон,Юнону-Мақдунӣ,Grek-Makedon,YUNON-MAKEDON (DAVLATI),,,,,,,,,Preferred term in Kazakhstan for early Hellenistic,Предпочтительный термин в Казахстане для раннего эллинизма,,Казакстанда эрте эллинизм үчүн артыкчылыктуу термин,,Irki ellinçilik üçin Gazagystanda ulanylmak islenyan termin,Qozog‘istonda erta ellinizm davri uchun afzal qilingan atama,,,,,,,,,,L2|GREEK-MACEDONIAN|Empire/dynasty
11,CP-2-0023,2,CP-1-0005,HELLENISTIC,L2|HELLENISTIC|Empire/dynasty,True,c. 331 BCE to 125 BCE,-331,-125,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,HELLENISTIC,ЭЛЛИНИСТИЧЕСКИЙ,希腊,Эллинистік,Эллиндик,Эллинистӣ,Ellinistik,ELLINISTIK,,,,,,,,,Maximum date range,Максимальный диапазон дат,,Максималдуу күндөр диапазону,,Maksimum sene diapazony,Maksimal sana oralig‘i,,,,,,,,,,L2|HELLENISTIC|Empire/dynasty
12,CP-2-0024,2,CP-1-0005,HEPHTHALITE,L2|HEPHTHALITE|Empire/dynasty,True,c. 440s–710 CE,440,710,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,HEPHTHALITE,ЭФТАЛИТЫ,嚈哒,Эфталиттер,Эфталиттер,Ҳайтолиён,Eftalit,EFTALIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|HEPHTHALITE|Empire/dynasty
13,CP-2-0025,2,CP-1-0005,KUSHAN,L2|KUSHAN|Empire/dynasty,True,c. 30–375 CE,30,375,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,KUSHAN,КУШАНСКИЙ,贵霜,Кушандықтар,Кушандык,КУШОНИЁН,Kuşan,KUSHON,,,,,,,,,,,,,,,,,,,,,,,,,L2|KUSHAN|Empire/dynasty
14,CP-2-0026,2,CP-1-0005,Liao Dynasty,L2|Liao Dynasty|Empire/dynasty,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,Liao Dynasty,Империя Ляо,辽,Ляо империясы,Ляо Империясы,ИМПЕРИЯИ ЛЯО,Liao Dinastiýasy,Lyao sulolasi / Kidan imperiyasi,,,,,,,,,,,,,,,,,,,,,,,,,L2|Liao Dynasty|Empire/dynasty
15,CP-2-0027,2,CP-1-0005,MONGOL,L2|MONGOL|Empire/dynasty,True,1206–1368 CE,1206,1368,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,MONGOL,МОНГОЛЫ,蒙古,Моңғолдар,Монголдор,МУҒУЛҲО,Mongol,MUG‘ULLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|MONGOL|Empire/dynasty
16,CP-2-0028,2,CP-1-0005,PARTHIAN,L2|PARTHIAN|Empire/dynasty,True,247 BCE – 224 CE,-247,224,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,PARTHIAN,ПАРФЯНЕ,帕提亚,Парфиялықтар,ПАРФИЯЛЫКТАР,ПОРТҲО,Parfiýa,PARFIYALIKLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|PARTHIAN|Empire/dynasty
17,CP-2-0029,2,CP-1-0005,SARMATIANS,L2|SARMATIANS|Empire/dynasty,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,SARMATIANS,САРМАТЫ,撒玛利亚,Сарматтар,Сарматтар,САРМАТИЁН,Sarmatlar,SARMATLAR,,,,,,,,,"Sarmatians flourished from c. 5th century BCE to the 4th century CE. Originating in the central parts of the Eurasian Steppe, the Sarmatians started migrating westward around the 4th and 3rd centuries BCE.","Расцвет Сарматов от V в. д.н.э. по IV в. н.э. Начиная из центральных частей Евразийской степи, Сарматы мигрировали на запад около IV -III в. д.н.э.",撒马利亚在大约公元前5世纪到公元4世纪国力繁盛。兴起于欧亚大草原，撒马利亚人于公元前4世纪到公元前3世纪开始向西迁移。,Сарматтардын өөрчүшү б. з. V-к. IV-к. чейин Евразия талаасынын борбордук бөлүктөрүнөн баштап сармат эли б. з. IV-III-к. тегерегинде батышка көчүп келишкен.,"Тарақиёти сарматҳо аз асри V то IV пеш аз милод. Сарматҳо аз қисматҳои марказии Дашти Авруосиё, тақрибан дар асрҳои IV ва III пеш аз милод ба самти ғарб муҳоҷират карданд.",Sarmatlar b.e.öň V asyrdan b.e. IV asyra çenli gülläp ösdüler. Ýewraziýa sährasynyň merkezi böleklerinden gözbaş alyp gaýdýan sarmatlar beöň 4-nji we 3-nji asyrlarda günbatara göçüp başlapdyrlar.,"Sarmatlar miloddan avvalgi V asrdan milodiy IV asrgacha gullab yashnagan. Ular miloddan avvalgi IV-III asrlarda Yevrosiyoning markaziy dashtlaridan, g‘arbga ko‘chishgan.",,,,,,,,,,L2|SARMATIANS|Empire/dynasty
18,CP-2-0030,2,CP-1-0005,SASANIAN,L2|SASANIAN|Empire/dynasty,True,224–651 CE,224,651,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,SASANIAN,САСАНИДЫ,萨珊波斯,Сасанидтер,Сасаниддер,СОСОНИЁН,Sasanidler,SOSONIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|SASANIAN|Empire/dynasty
19,CP-2-0031,2,CP-1-0005,SELEUCID,L2|SELEUCID|Empire/dynasty,True,312 BCE – 63 BCE,-312,-63,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,SELEUCID,СЕЛЕВКИДЫ,塞琉古,Селевкидтер,Селевкиддер,СЕЛЕВКИЁН,Selewkidler,SALAVKIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|SELEUCID|Empire/dynasty
20,CP-2-0033,2,CP-1-0005,Shaybanids,L2|Shaybanids|Empire/dynasty,True,1428-1599,1428,1599,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,Shaybanids,Шейбаниды,昔班王朝,Шейбанидтер,Шейбаниддер,ШАЙБОНИЁН,Şaýbanidler,SHAYBONIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|Shaybanids|Empire/dynasty
21,CP-2-0032,2,CP-1-0005,SOGDIAN,L2|SOGDIAN|Empire/dynasty,True,6th century BCE to 8th century CE,-600,800,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,SOGDIAN,СОГДИЙСКИЙ,粟特,Соғды,Согдийлер,СУҒДӢ,Sogdiana,SUG‘DIY,,,,,,,,,,,,,,,,,,,,,,,,,L2|SOGDIAN|Empire/dynasty
22,CP-2-0034,2,CP-1-0005,THREE KINGDOMS,L2|THREE KINGDOMS|Empire/dynasty,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,THREE KINGDOMS,Эпоха Троецарствия,三国时期,Үш патшалық дәуірі,Үч падышалык доору,АҲДИ СЕПОДШОҲӢ,Üç Patyşalyk döwri,UCH QIROLLIK DAVRI,,,,,,,,,,,,,,,,,,,,,,,,,L2|THREE KINGDOMS|Empire/dynasty
23,CP-2-0035,2,CP-1-0005,TIBETAN EMPIRE,L2|TIBETAN EMPIRE|Empire/dynasty,True,618–842 CE,618,842,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,TIBETAN EMPIRE,ТИБЕТСКАЯ ИМПЕРИЯ,土蕃,Тибет империясы,Тибет империясы,ИМПЕРИЯИ ТИБЕТ,Tibet Imperiýasy,Tibet imperiyasi,,,,,,,,,,,,,,,,,,,,,,,,,L2|TIBETAN EMPIRE|Empire/dynasty
24,CP-2-0036,2,CP-1-0005,TIMURID,L2|TIMURID|Empire/dynasty,True,1370–1507 CE,1370,1507,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,TIMURID,ТИМУРИДСКИЙ,贴木儿,Темір әулеті,Тимуриддер,ТЕМУРИЁН,Timuridler,TEMURIYLAR,,,,,,,,,,,,,,,,,,,,,,,,,L2|TIMURID|Empire/dynasty
25,CP-2-0037,2,CP-1-0005,TURKIC KHAGANATE,L2|TURKIC KHAGANATE|Empire/dynasty,True,552-593/603 CE,552,603,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,TURKIC KHAGANATE,ТЮРКСКИЙ КАГАНАТ,突厥汗国,Түрік қағанаты,Турк кагандыгы,ҲОҚОНАТИ ТУРК,Türk Kaganaty,TURK XOQONLIGI,,,,,,,,,,,,,,,,,,,,,,,,,L2|TURKIC KHAGANATE|Empire/dynasty
26,CP-3-0023,3,CP-2-0037,EASTERN TURKIC KHAGANATE,L3|EASTERN TURKIC KHAGANATE|TURKIC KHAGANATE,True,593/603-630 CE,593,630,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,TURKIC KHAGANATE,ТЮРКСКИЙ КАГАНАТ,突厥汗国,Түрік қағанаты,Турк кагандыгы,ҲОҚОНАТИ ТУРК,Türk Kaganaty,TURK XOQONLIGI,EASTERN TURKIC KHAGANATE,ВОСТОЧНО-ТЮРКСКИЙ КАГАНАТ,东突厥,ШЫҒЫС ТҮРКІ ҚАҒАНАТЫ,Чыгыш Турк Кагандыгы,ҲОҚОНАТИ ТУРКОНИ ШАРҚӢ,GÜNDOGAR TÜRKI KAGANATY,SHARQIY TURK XOQONLIGI,The Eastern Turkic Khaganate was formed at the beginning of the 7th century (593–603 CE) after the split of the Göktürk Khaganate. Subjugated by the Tang Empire in 630 CE.,Восточный Тюркский Каганат был создан в начале VII в. (593-603 н.э.) после разделение Гоктюркского каганата. Был покорен Империей Танг в 630 н.э.,突厥汗国分裂后，东突厥汗国于公元7世纪形成（公元593-603年）。公元630年，被唐朝征服。,Чыгыш Түрк кагандыгы Гоктүрк каганатынын бөлүнүшүнөн кийин (593-603-ж.) 7-к. башында түзүлгөн. 630-жылы Тан империясы тарабынан багындырылган.,Хоқонати Туркони Шарқӣ дар ибтидои асри VII (593-603 милодӣ) пас аз тақсим шудани Хоқонати Гоктурк таъсис ёфт. Онро дар соли 630 милодӣ империяи Тан забт кардааст.,Gündogar Türk Kaganaty VII asyryň başynda (b.e. 593-603-nji ýyllar) Göktürk Kaganatyndan bölünenden soň emele geldi. B.e. 630 ýylda Tang imperiýasy tarapyndan gol astyna alynyýar.,Sharqiy Turk xoqonligi VII asr boshlarida (milodiy 593—603-yillar) Koʻk turk xoqonligi boʻlinib ketganidan keyin tashkil topgan. Milodiy 630-yilda esa Tan imperiyasi tomonidan bo'ysundirilgan.,,,,,,,,,,L3|EASTERN TURKIC KHAGANATE|TURKIC KHAGANATE
27,CP-3-0024,3,CP-2-0037,WESTERN TURKIC KHAGANATE,L3|WESTERN TURKIC KHAGANATE|TURKIC KHAGANATE,True,593/603-657 CE,593,657,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,TURKIC KHAGANATE,ТЮРКСКИЙ КАГАНАТ,突厥汗国,Түрік қағанаты,Турк кагандыгы,ҲОҚОНАТИ ТУРК,Türk Kaganaty,TURK XOQONLIGI,WESTERN TURKIC KHAGANATE,ЗАПАДНО-ТЮРКСКИЙ КАГАНАТ,西突厥,БАТЫС ТҮРКІ ҚАҒАНАТЫ,Батыш Турк Кагандыгы,ҲОҚОНАТИ ТУРКОНИ ҒАРБӢ,GÜNBATAR TÜRKI KAGANATY,G‘ARBIY TURK XOQONLIGI,The Western Turkic Khaganate (or Onoq Khaganate) was a Turkic khaganate formed beginning of the 7th century (593–603 CE) after the split of the Göktürk Khaganate. Subjugated by the Tang Empire in 657 CE.,Заподно-Тюркский Каганат (или каганат Онок) был Тюркским каганатом созданный в начале VII в. (593-603 н.э.) после разделении Гоктюркского каганата. Был покорен Империей Танг в 657 н.э.,突厥汗国分裂后，西突厥汗国于公元7世纪形成（公元593-603年）。公元657年，被唐朝征服。,Батыш Түрк кагандыгы (же Он-Ок кагандыгы) - Гоктүрк каганатынын бөлүнүшүнөн кийин (593-603-ж.) 7-к. башында түзүлгөн. 657-жылы Тан империясы тарабынан багындырылган.,"Хоқонати Туркони Ғарбӣ (ё Хоқонати Онок) — хоқонати туркҳо буд, ки дар ибтидои асри 7 (593-603 милодӣ) пас аз тақсим шудани Хоқонати Гоктурк таъсис ёфтааст. Онро дар соли 657 милодӣ империяи Тан забт кардааст.",Günbatar Türki Kaganaty (ýa-da Onok Kaganate) VII asyryň başynda (593–603-nji ýyllar) Göktürk Kaganaty bölünenden soň döredilen türki haganatydy. B.e. 657-nji ýylda Tang imperiýasy tarapyndan boýun egdirilipdir.,Koʻkturk xoqonligi boʻlingandan keyin Gʻarbiy Turk xoqonligi (yoki Oʻnoq xoqonligi) — VII asr boshlarida tuzilgan Turk xoqonligi. (milodiy 593-603-yillar). 657 yilda Tan imperiyasi tomonidan bosib olingan.,,,,,,,,,,L3|WESTERN TURKIC KHAGANATE|TURKIC KHAGANATE
28,CP-2-0038,2,CP-1-0005,UYGHUR KHAGANATE,L2|UYGHUR KHAGANATE|Empire/dynasty,True,744–840 CE,744,840,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,UYGHUR KHAGANATE,УЙГУРСКИЙ КАГАНАТ,回鹘,Ұйғыр қағанаты,Уйгур кагандыгы,ҲОҚОНАТИ УЙҒУР,Uýgur Kaganaty,UYG‘UR XOQONLIGI,,,,,,,,,Uyghur Khaganate (or Uyghur Empire or Uighur Khaganate),Уйгурский каганат (или Уйгурская империя),突厥汗国分裂后，西突厥汗国于公元7世纪形成（公元593-603年）。公元657年，被唐朝征服。,Уйгур кагандыгы (же Уйгур империясы),Ҳоқонати Уйғурҳо (ё империяи Уйғурҳо),Uýgur Kaganaty (ýa-da Uýgur Imperiýasy),Uygʻur xoqonligi (Uygʻur imperiyasi yoki Uygʻur xoqonligi),,,,,,,,,,L2|UYGHUR KHAGANATE|Empire/dynasty
29,CP-2-0039,2,CP-1-0005,XIONGNU,L2|XIONGNU|Empire/dynasty,True,3rd century BCE to the late 1st century CE,-300,100,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Empire/dynasty,Империя / Династия,帝国/朝代,Империя / Әулет,Империя / Династия,Империя / сулола,Imperiýa/ Dinastiýa,Imperiya/sulola,XIONGNU,ХУННУ (СЮННУ),匈奴,Хунну (Сюнну),Гундар (Сюнну),ХУННҲО,Hunnu(Syunnu),HUNLAR,,,,,,,,,A tribal confederation of nomadic peoples who inhabited the eastern Eurasian Steppe from the 3rd century BCE to the late 1st century CE.,Племенная конфедерация кочевников кот. заселяли возточный Евразийский степ от III в. д.н.э. до поздного I в. н.э.,欧亚大草原东部游牧民族部落联盟，公元前3世纪-公元1世纪。,Көчмөндөрдүн уруулук конфедерациясы Чыгыш Евразия талааларын III к. б.з. ч жана I к. б.з. байырлаган,Конфедератсияи қабилаҳои бодиянишин ки аз асри III пеш аз милод то охири асри I милодӣ дар даштҳои Шарқии Авруосиё сукунат дошт,B.e.öň III b.e I asyrynyň ahyryna çenli gündogar Yewraziýa sährasynda ýaşaýan çarwa halklaryň taýpa konfederasiýasy.,Miloddan avvalgi III asrdan milodiy I asr oxirigacha Sharqiy Yevrosiyo dashtida yashagan koʻchmanchi xalqlar qabilalarining konfederatsiyasi.,,,,,,,,,,L2|XIONGNU|Empire/dynasty
30,CP-1-0002,1,,Chinese,L1|Chinese|NA,True,,,,Cultural Period,Культурный период,文化时期,Мәдени кезең,Маданий мезгил,Давраи фарҳангӣ,Medeni döwür,Madaniy davr,Chinese,,,,,,,Xitoycha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L1|Chinese|NA
